
20.09.19 (4);klasa 4;"
Klasa spokojnie pracowałą nad przygotowaniem listy nauczycieli, którzy uczą klasę. Potrzebowali pomocy w uzyskaniu wielkich liter, ale nowe wiadomości dootyczące formatowania tekstu przyswoiły nazdwyczaj szybko. Istotną do wyjaśnienia kwestią były też podkreślenia autokorekty nazwisk nauczycieli. Klasa nie powodowałą żadnych problemów z dyscypliną.
"
;klasa 5;"
Kolejna lekcja okazałą się dla mnie wyzwaniem. Na początek lekcji nauczycielka musiałą porozmiawiać z jednym z rodziców, zostawiając mnie z klasą, której nie znałem. Z powodu przedłużającej się braku aktywności podjąłem próbę przeprowadznie gry intergracyjnej. Błędnie rozpoznałem stan grupy i nie zauważyłem istniejących konfliktów, więc gra która przebiega bezproblemowo w grupach które znają się lepiej, tym razem przedłużała sie i ujawniła konflikty.

"
;klasa 2;" (?)
Podczas zajęć pomagałem uczniom w obsłudzę Painta. Niektórym uczniom problem sprawiła wersja Painta, ponieważ znali jedynie poprzednie, prostsze wersje. Nowsze menu sprawiało im kłopot, nawet mimo moich wskazówek.

"
;klasa 8;"
Lekcja prowadzona. Lekcja przebiegła znacznie lepiej niż poprzednia. Byłem przygotowany, że uczniowie mogą być na bardzo różnym poziomie wykonania pracy. W związku z tym przypomniałem jedynie dotychczasowo poznane elementy html'a a następnie wspierałem uczniów indywidualnie. Uczniowie którzy skończyli wcześniej wykorzystali moje materiały, aby wykonać kolejne zadanie samodzielnie. Klasa pracowała sprawnie. Po lekcji mam jednak wrażenie, że sposób w jaki temat został wprowadzony w podręczniku jest co zbyt obszerny. Ponadto przedstawione w podręczniku zadania są bardzo odtwórczę i nie wymagają od uczniów wystarczająco rozbudowanych aktywności, aby zapaiętać

";
23.09.2019 (7);klasa 6;"
Lekcja rozpoczeła się od usadzenia uczniów i przypomnienia poprzedniej lekcji. Następnie przedstawiła zadanie na obecną lekcję oraz przypomniała wspólnie z klasą nazewnictwo w arkuszu kalkulacyjnym. Probemy sprawiał uczeń powtarzający klasę, ponieważ zadanie pamiętał z zeszłego roku.
"
;klasa 4;"
Klasa miała znaczne problemy z zachowaniem dyscypliny. Nauczycielka zadanie tłumaczyła uczniom, którzy siedzieli na podłodzę, ponieważ byli zbyt rozposzeni by słuchać siedząc przy komputerach. Aby utrzymać dyscyplinę nauczycielka była zmuszona wstawiać uwagi i oceny niedostateczne.
"
;klasa 0;"
Lekcja była zastępstwem z klasą. W związku z tym cześc grupy byłą do przodu. Mogli oni skorzystać z komputerów w dowolny sposób. Pozostali uczniowie instruowaniu przez nauczycielkę kończyli poprzednie zadenie - komiks w paintcie.
"
;klasa 5;"c
Tematem lekcji były animacje w Scratchu. Sądząc po zachowaniu klasy przed zajęciami i na reakcji nauczycielki, uznałem, że klasa nie będzie chętnie pracować podczas zajęć. Jednakże, klasa pracowała bardzo chętnie, a temat bardzo się podoba. Podczas zajęć pomagałem uczniom, min. pokazujac w jaki sposób zmienić typ grafiki na wektorową.
Lekcja prowadzona. "
;klasa 8;"
Zajęcia z html przebiegły nadzwyczaj sprawnie. Dałem ucziom wybór, czy chcą kontunuować przepisywanie z podręcznika, czy zmodyfikować plik zamieszczony na mojej stronie osobistej, na której znalazły się informację dotyczące formatowania. Większość uczniów wybrała drugą opcję, dzięki czemu z większym zaangażownaiem przystąplili do pracy. O zapale uczniów może świadczyć fakt, że zapisali link do mojej strony do ponownego skożystania z niej w domu
Lekcja prowadzona. "
;klasa 7;"
Klasa była bardzo sprawna w wykonaniu zadań, a sam temat wydawał się im prosty. Sądzę, że klasa przyswoiła cele lekcji, zrozumiała idee systemu pozycyjnego oraz znaczenie i powody wprowadzenia go w informatyce.
Lekcja prowadzona. "
;klasa 8;"
Zajęcie przebiegały znacznie mniej sprawnie niż w poprzedniej grupie. Znacznym wyzwaniem dla uczniów było zapisanie pliku i odnalezienie jego lokalizacji, tak by otworzyć go później w przeglądarcę internetowej. Mimo to części klasy udało się wykonać ćwiczenie.
24.09 (3)
Lekcja prowadzona. "
;klasa 7;"
Reakcja uczniów na zajęcia była bardzo zróżnicowane. Jeden z uczniów o specjalnych potrzebach edukacyjnych spowodował, że prowadzona lekcja była bardzo trudna. Swoim nietypowym zachowaniem wpływał na innnych uczniów. Mimo problemów dyscyplinarnych część uczniów była bardzo zainteresowana tematem. Również uczeń, który powodował najwięcej problemów, gdy w wolnej chwili okazałem mu indywidualne zainteresowanie, pracował razem ze mną nad tematem lekcji.
"
;klasa 6;"
Zadaniem klasy było zrobienie piramidy zdrowia, toworząc lub modyfikując obrazki w programie Paint, a następnie wklejając je do dokumentu tekstowego. Większość uczniów próbowało jedynie pracy w programie Paint i wymagało to korekty ze strony nauczycielki.
"
;klasa 6;"
Kolejna klasa miała podobne zadanie. Wydawali się jednak znacznie mniej zmotywowani do pracy. Podczas tej lekcji nauczycielka skupiła się też na kontrowersjach dotyczących piramidy żywieniowej.
";
27.09.19 (4);Klasa 4;"
Klasa czwarta podczas zajęć kończyła poprzednie ćwiczenie oraz uczyła się porawnego pisania bezwzrokowo na klawiaturze. Ku mojemu zaskoczeniu temata okazał się być ciekawy dla dzieci i chętenie przystąpili do pracy.
"
;klasa 2;"
Uczniowie mielli problem z przypomnieniem tematu poprzednije lekcji. Po wspólnym przypomnieniu uczniowie poznali temat nowej lekcji. Bardzo entuzjastycznie zareagowali, gdy dowiedzieli się, że od tej lekcji będą mogli zapisać swoje prace. Nie spodzeiwałem się az takiej radości z faktu utrwalenia własych działań podczas lekcji. Mimo motywacji do pracy, uczniowie mieli problem z uspokojeniem się. Sądzę, że dzieci były jeszcze nieprzygotowane do cichej pracy podczas całej lekcji. NIedopasowanie stanowisk również wpływało na to, że dzieci kręciły się na krzesłach. Po rozpoczęciu pracy pomagałe uczniowm w obsłudzę Painta, a następnie z zapisaniem pliku.
"
;klasa 8;"
Lekcja prowadzona. Kontunuowałem prace z html'em. Problemem podczas lekcji była znaczna różnica poziomów między uczniami. Niektórzy mieli znaczne problemu ze zlokalizowaniem pliku. Problem okazał się też wybór tematu - część uczniów nie mogła wymyślić o czym chcieliby zrobić prostą stronę. Wielu uczniów czuło się zagubionych, nie wiedziało o co zapytać, podczas gdy inni samodzielnie kończyli pracę. Lekcję uważam za udaną, większość uczniów ukończyła, bądz była bliska ukończenie dosyć trudnego zadania.
"
;klasa 5;"a
Klasa pracował sprawnie nad obrazem wektorowym w Scratchu. Pomagałem uczniom przy drobnych problemach z narzędziami do rysowania.
30.09 (1)
"
;klasa 8;"
Lekcja prowadzona. Z klasą kontunuowaliśmy prace nad stroną w htmlu. Uczniowie od samego początku byli rozproszenie, ale po wspólnym powtórzeniu materiałów udało się zmobilizować ich do pracy. Uczniowie wykazali bardzo różny poziom zdolności, kilkoro uczniów wykonało naprawdę świetną prace.
2.10 (1)
"
;klasa 4;"
Lekcaj rozpoczeła się od przypomnienia poprzedniej lekcji. Następnie nauczycielka przedstawi temat lekcji oraz przedstawiła pokaz na swoim komputerze. Uczniowie tworzyli animacje w scratchu z nadaniem komunikatu. Zadania było dla uczniów interesujące i pracowali w skupieniu.
